Player,Team1,Team2
1973-1974,crd,atl
1966-1967,crd,atl
2022,crd,rav
1974-1975,crd,buf
2011-2012,crd,car
1936-1937,crd,chi
1980-1983,crd,chi
1953-1954,crd,chi
1978,crd,cin
1961-1967,crd,cle
2004,crd,dal
1985-1989,crd,dal
1986-1987,crd,dal
2003-2004,crd,dal
1963-1977,crd,dal
1997-2002,crd,den
2022,crd,det
1938,crd,det
2014-2017,crd,det
1936,crd,det
1972-1974,crd,gnb
1945-1949,crd,gnb
1978-1984,crd,gnb
2019,crd,gnb
1936-1939,crd,gnb
1978-1979,crd,gnb
2013-2017,crd,htx
2012-2014,crd,clt
2018-2021,crd,jax
2007-2010,crd,kan
2011-2012,crd,kan
2022,crd,kan
2005,crd,rai
2015-2018,crd,rai
1972,crd,sdg
1976-1983,crd,sdg
1938-1939,crd,ram
1988-1992,crd,ram
1975-1978,crd,ram
1951-1952,crd,ram
1979-1980,crd,ram
1934-1939,crd,ram
1990-1992,crd,ram
2004,crd,mia
1996-1999,crd,min
1975,crd,nwe
2017-2020,crd,nwe
1995,crd,nor
1998-2001,crd,nyg
1985,crd,nyg
1945,crd,nyg
1941-1948,crd,nyg
2020-2021,crd,nyj
1942-1943,crd,phi
2011-2012,crd,phi
1943-1944,crd,phi
1957,crd,pit
1939-1944,crd,pit
1939-1942,crd,pit
2024,crd,sea
1958-1964,crd,sfo
2004,crd,tam
1959-1961,crd,oti
1966-1983,crd,was
1934,crd,was
2007-2011,atl,rav
1969,atl,buf
1999-2000,atl,car
2013,atl,car
2018,atl,chi
2004-2005,atl,chi
1986,atl,cin
1976-1977,atl,cle
2018-2020,atl,dal
1988-1990,atl,den
1968,atl,den
1979-1981,atl,det
2000,atl,det
1966,atl,gnb
2011-2013,atl,htx
2009,atl,htx
2000-2001,atl,htx
2008-2021,atl,clt
2018,atl,jax
2001-2007,atl,jax
2008-2009,atl,jax
2009,atl,jax
2008-2009,atl,jax
2018-2021,atl,jax
2011-2012,atl,kan
2022-2023,atl,rai
2008-2012,atl,sdg
1975-1985,atl,ram
1994,atl,mia
2001-2002,atl,mia
1983-1985,atl,mia
1975-1978,atl,mia
2008,atl,mia
2016-2018,atl,mia
1984,atl,mia
1968-1972,atl,min
1975,atl,nwe
1993-1996,atl,nor
2010,atl,nyg
1991,atl,nyj
1970-1974,atl,phi
1987,atl,phi
1986-1990,atl,pit
1985-1988,atl,sea
1996,atl,sea
2013-2016,atl,sea
1989-1991,atl,sea
1999-2006,atl,sea
2015,atl,sea
2004,atl,sea
2000-2005,atl,sea
2012-2013,atl,sea
2006-2007,atl,sea
1994-1999,atl,sea
2017,atl,sea
2002-2008,atl,sea
1966,atl,sfo
1968,atl,sfo
2002-2007,atl,tam
1974,atl,tam
1984-1988,atl,tam
2000-2003,atl,oti
2022-2023,atl,oti
1985,atl,was
1974-1977,atl,was
2011,rav,buf
2014-2016,rav,car
2014,rav,chi
2022-2024,rav,chi
2013,rav,cin
2000-2006,rav,cle
2020,rav,dal
1999-2000,rav,dal
2006-2007,rav,den
2020,rav,det
2001-2004,rav,det
1999-2006,rav,det
2007,rav,det
2002,rav,gnb
2020,rav,gnb
2017-2019,rav,gnb
2015,rav,htx
2002-2005,rav,htx
2010-2012,rav,clt
2020-2023,rav,jax
2012-2014,rav,jax
1997-2000,rav,kan
2019,rav,kan
2018-2021,rav,rai
2024,rav,rai
2006,rav,rai
2021,rav,rai
1997,rav,rai
2008,rav,rai
2005,rav,rai
2008-2010,rav,rai
2020-2023,rav,sdg
2018-2023,rav,sdg
2005-2009,rav,ram
2015,rav,ram
2020-2023,rav,mia
1999-2000,rav,min
2001,rav,min
2000,rav,nwe
1999,rav,nwe
2014-2019,rav,nor
2017,rav,nor
2002,rav,nor
1999-2008,rav,nor
2022-2024,rav,nor
2015-2018,rav,nyg
2019,rav,nyj
1997-1998,rav,nyj
2009,rav,phi
1996,rav,phi
2014,rav,pit
2017-2018,rav,sea
2007-2009,rav,sfo
2014-2017,rav,tam
2021,rav,tam
2002,rav,tam
2014-2016,rav,tam
2006-2007,rav,oti
2007-2008,rav,was
2002-2004,rav,was
2009-2010,buf,car
2009,buf,car
2020-2023,buf,car
2018-2021,buf,car
1993-1994,buf,car
2020-2021,buf,car
1985,buf,chi
1989-1990,buf,cin
2013,buf,cle
1978,buf,cle
1974-1977,buf,dal
2015,buf,dal
1985,buf,dal
1995-1997,buf,dal
2023-2024,buf,dal
2001-2013,buf,dal
2012,buf,dal
1966-1967,buf,den
1977-1978,buf,den
1968-1972,buf,den
2000-2002,buf,det
1989-1994,buf,gnb
2000-2001,buf,htx
1982-1984,buf,clt
2019-2020,buf,jax
1986-1987,buf,kan
1976,buf,kan
1962-1963,buf,rai
1963-1966,buf,rai
2013-2016,buf,rai
1968,buf,sdg
1983-1984,buf,ram
1978-1979,buf,ram
1971-1978,buf,mia
1988-1999,buf,mia
1975-1977,buf,min
1969,buf,nwe
2017-2018,buf,nor
2021,buf,nyg
1983-1985,buf,nyg
1960-1961,buf,nyj
2018,buf,phi
1977-1979,buf,pit
1978-1983,buf,pit
1964-1965,buf,pit
1981-1984,buf,sea
2007-2014,buf,sea
